Settimana,Giorno,N_ore,Insegnamento,Docente
7,mercoledi,2,strumenti_e_metodi_di_interazione_nei_social_media,giordani
7,lunedi,3,acquisizione_ed_elaborazione_del_suono,valle
7,venerdi,2,linguaggi_di_markup,gena
8,sabato,2,comunicazione_pubblicitaria_e_comunicazione_pubblica,gabardi
8,sabato,3,linguaggi_di_markup,gena
8,venerdi,4,linguaggi_di_markup,gena
8,venerdi,3,progettazione_di_basi_di_dati,mazzei
9,venerdi,3,linguaggi_di_markup,gena
9,venerdi,4,risorse_digitali_per_il_progetto_collaborazione_e_documentazione,boniolo
9,sabato,4,comunicazione_pubblicitaria_e_comunicazione_pubblica,gabardi
9,sabato,2,risorse_digitali_per_il_progetto_collaborazione_e_documentazione,boniolo
10,sabato,3,semiologia_e_multimedialita,santangelo
10,sabato,3,la_gestione_della_qualita,tomatis
10,venerdi,2,recupero,nessun_docente
10,venerdi,3,progettazione_di_basi_di_dati,mazzei
10,venerdi,2,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
11,venerdi,2,recupero,nessun_docente
11,venerdi,3,strumenti_e_metodi_di_interazione_nei_social_media,giordani
11,sabato,3,la_gestione_della_qualita,tomatis
11,sabato,3,semiologia_e_multimedialita,santangelo
12,sabato,2,risorse_digitali_per_il_progetto_collaborazione_e_documentazione,boniolo
12,sabato,4,i_vincoli_giuridici_del_progetto_diritto_dei_media,travostino
12,venerdi,3,strumenti_e_metodi_di_interazione_nei_social_media,giordani
12,venerdi,3,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
12,venerdi,2,marketing_digitale,muzzetto
13,venerdi,3,strumenti_e_metodi_di_interazione_nei_social_media,giordani
13,venerdi,2,recupero,nessun_docente
13,venerdi,3,acquisizione_ed_elaborazione_di_immagini_statiche_grafica,zanchetta
13,sabato,2,semiologia_e_multimedialita,santangelo
13,sabato,4,progettazione_grafica_e_design_di_interfacce,terranova
14,sabato,2,progettazione_grafica_e_design_di_interfacce,terranova
14,sabato,2,la_gestione_della_qualita,tomatis
14,sabato,2,semiologia_e_multimedialita,santangelo
14,venerdi,2,acquisizione_ed_elaborazione_di_immagini_statiche_grafica,zanchetta
14,venerdi,2,recupero,nessun_docente
14,venerdi,4,tecnologie_server_side_per_il_web,damiano
15,venerdi,2,acquisizione_ed_elaborazione_di_immagini_statiche_grafica,zanchetta
15,sabato,2,acquisizione_ed_elaborazione_di_immagini_statiche_grafica,zanchetta
15,venerdi,2,marketing_digitale,muzzetto
15,venerdi,4,tecnologie_server_side_per_il_web,damiano
15,sabato,2,i_vincoli_giuridici_del_progetto_diritto_dei_media,travostino
15,sabato,2,risorse_digitali_per_il_progetto_collaborazione_e_documentazione,boniolo
16,sabato,3,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
16,sabato,3,crossmedia_articolazione_delle_scritture_multimediali,taddeo
16,lunedi,4,crossmedia_articolazione_delle_scritture_multimediali,taddeo
16,lunedi,4,introduzione_al_social_media_management,suppini
16,martedi,3,introduzione_al_social_media_management,suppini
16,giovedi,4,crossmedia_articolazione_delle_scritture_multimediali,taddeo
16,mercoledi,3,crossmedia_articolazione_delle_scritture_multimediali,taddeo
16,venerdi,4,crossmedia_articolazione_delle_scritture_multimediali,taddeo
16,venerdi,4,introduzione_al_social_media_management,suppini
16,martedi,2,crossmedia_articolazione_delle_scritture_multimediali,taddeo
16,mercoledi,2,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
16,martedi,3,acquisizione_ed_elaborazione_di_immagini_statiche_grafica,zanchetta
16,giovedi,2,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
16,mercoledi,3,introduzione_al_social_media_management,suppini
16,giovedi,2,acquisizione_ed_elaborazione_di_immagini_statiche_grafica,zanchetta
17,venerdi,2,elementi_di_fotografia_digitale,vargiu
17,venerdi,3,grafica_3d,gribaudo
17,venerdi,3,tecniche_e_strumenti_di_marketing_digitale,zanchetta
17,sabato,3,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
17,sabato,3,grafica_3d,gribaudo
18,venerdi,2,elementi_di_fotografia_digitale,vargiu
18,venerdi,2,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
18,sabato,3,ambienti_di_sviluppo_e_linguaggi_client_side_per_il_web,micalizio
18,sabato,2,elementi_di_fotografia_digitale,vargiu
18,venerdi,4,tecnologie_server_side_per_il_web,damiano
19,sabato,4,progettazione_e_sviluppo_di_applicazioni_web_su_dispositivi_mobile_I,pozzato
19,venerdi,3,grafica_3d,gribaudo
19,venerdi,2,elementi_di_fotografia_digitale,vargiu
19,venerdi,3,progettazione_e_sviluppo_di_applicazioni_web_su_dispositivi_mobile_I,pozzato
19,sabato,2,i_vincoli_giuridici_del_progetto_diritto_dei_media,travostino
20,sabato,3,tecniche_e_strumenti_di_marketing_digitale,zanchetta
20,venerdi,2,elementi_di_fotografia_digitale,vargiu
20,venerdi,2,i_vincoli_giuridici_del_progetto_diritto_dei_media,travostino
20,venerdi,3,grafica_3d,gribaudo
21,venerdi,4,tecnologie_server_side_per_il_web,damiano
21,sabato,4,acquisizione_ed_elaborazione_di_sequenze_di_immagini_digitali,ghidelli
21,venerdi,4,acquisizione_ed_elaborazione_di_sequenze_di_immagini_digitali,ghidelli
22,sabato,3,grafica_3d,gribaudo
22,venerdi,4,tecnologie_server_side_per_il_web,damiano
22,venerdi,4,tecniche_e_strumenti_di_marketing_digitale,zanchetta
22,sabato,3,progettazione_e_sviluppo_di_applicazioni_web_su_dispositivi_mobile_I,pozzato
23,venerdi,4,acquisizione_ed_elaborazione_di_sequenze_di_immagini_digitali,ghidelli
23,sabato,2,acquisizione_ed_elaborazione_di_sequenze_di_immagini_digitali,ghidelli
23,sabato,4,progettazione_e_sviluppo_di_applicazioni_web_su_dispositivi_mobile_II,schifanella
23,venerdi,2,grafica_3d,gribaudo
23,venerdi,2,progettazione_e_sviluppo_di_applicazioni_web_su_dispositivi_mobile_II,schifanella
24,venerdi,4,acquisizione_ed_elaborazione_di_sequenze_di_immagini_digitali,ghidelli
24,venerdi,3,grafica_3d,gribaudo
24,sabato,2,acquisizione_ed_elaborazione_di_sequenze_di_immagini_digitali,ghidelli
24,sabato,4,progettazione_e_sviluppo_di_applicazioni_web_su_dispositivi_mobile_II,schifanella)
